WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f625w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.195395E-19
PIVWV    r 6310.452
BANDW    r 415.454
TPEAK    r 0.4433655
EQUVW    r 580.8473
RECTW    r 1310.087
EMFLX    r 1.762527E-16
     3320.396   1.705304E-7
      3320.81   1.719807E-7
     3321.226   1.734407E-7
      3321.64   1.748965E-7
     3322.054   1.763557E-7
     3322.468   1.778175E-7
     3322.885   1.792947E-7
       3323.3   1.807615E-7
     3323.714   1.822308E-7
     3324.128   1.837034E-7
     3324.544   1.851842E-7
     3324.958   1.866623E-7
     3325.373   1.881424E-7
     3325.787   1.896250E-7
     3326.203   1.911172E-7
      3326.62   1.926127E-7
     3327.034   1.941035E-7
     3327.449   1.955960E-7
     3327.865   1.970980E-7
      3328.28   1.985973E-7
     3328.695   2.000994E-7
      3329.11   2.016036E-7
     3329.527   2.031163E-7
     3329.942   2.046252E-7
     3330.358   2.061075E-7
     3330.773   2.075803E-7
     3331.188   2.090553E-7
     3331.605   2.105391E-7
     3332.021   2.120193E-7
     3332.436   2.135023E-7
     3332.851   2.149878E-7
     3333.269   2.164824E-7
     3333.686   2.179793E-7
     3334.101   2.194724E-7
     3334.517   2.209680E-7
     3334.934   2.224722E-7
      3335.35   2.239738E-7
     3335.765   2.254771E-7
     3336.181   2.269837E-7
     3336.599   2.284997E-7
     3337.015   2.300110E-7
      3337.43   2.315237E-7
     3337.848   2.330459E-7
     3338.266   2.345724E-7
     3338.682   2.360946E-7
     3339.098   2.376189E-7
     3339.514   2.391452E-7
     3339.932   2.406801E-7
     3340.349   2.421544E-7
     3340.765   2.436199E-7
     3341.183   2.450942E-7
     3341.599   2.465634E-7
     3342.018   2.480427E-7
     3342.434   2.495176E-7
     3342.851   2.509948E-7
     3343.269   2.524809E-7
     3343.686   2.539622E-7
     3344.103   2.554465E-7
     3344.519   2.569325E-7
     3344.936   2.584214E-7
     3345.357   2.599247E-7
     3345.774   2.614178E-7
     3346.191   2.629131E-7
     3346.608   2.644104E-7
     3347.027   2.659169E-7
     3347.444   2.674184E-7
     3347.861   2.689229E-7
     3348.278   2.704299E-7
     3348.699   2.719524E-7
     3349.116   2.734645E-7
     3349.534   2.749772E-7
